resource_id,name,description,category,subcategory,tags,relevance_score
1,Skill Assessment Resource 1,A comprehensive guide and tools for skill assessment initiatives.,Career,Skill Assessment,"skill assessment, career, support",4.67
2,Fitness Programs Resource 2,A comprehensive guide and tools for fitness programs initiatives.,Health,Fitness Programs,"fitness programs, health, support",1.31
3,Investments Resource 3,A comprehensive guide and tools for investments initiatives.,Finance,Investments,"investments, finance, support",4.73
4,Gadgets Resource 4,A comprehensive guide and tools for gadgets initiatives.,Technology,Gadgets,"gadgets, technology, support",1.85
5,Resume Building Resource 5,A comprehensive guide and tools for resume building initiatives.,Career,Resume Building,"resume building, career, support",0.55
6,Investments Resource 6,A comprehensive guide and tools for investments initiatives.,Finance,Investments,"investments, finance, support",2.98
7,Diet Plans Resource 7,A comprehensive guide and tools for diet plans initiatives.,Health,Diet Plans,"diet plans, health, support",2.74
8,Coding Bootcamps Resource 8,A comprehensive guide and tools for coding bootcamps initiatives.,Technology,Coding Bootcamps,"coding bootcamps, technology, support",3.99
9,Scholarships Resource 9,A comprehensive guide and tools for scholarships initiatives.,Education,Scholarships,"scholarships, education, support",1.89
10,Investments Resource 10,A comprehensive guide and tools for investments initiatives.,Finance,Investments,"investments, finance, support",3.61
11,Mental Health Resource 11,A comprehensive guide and tools for mental health initiatives.,Health,Mental Health,"mental health, health, support",3.61
12,Investments Resource 12,A comprehensive guide and tools for investments initiatives.,Finance,Investments,"investments, finance, support",1.58
13,Budgeting Resource 13,A comprehensive guide and tools for budgeting initiatives.,Finance,Budgeting,"budgeting, finance, support",1.06
14,Tech News Resource 14,A comprehensive guide and tools for tech news initiatives.,Technology,Tech News,"tech news, technology, support",3.92
15,Tech News Resource 15,A comprehensive guide and tools for tech news initiatives.,Technology,Tech News,"tech news, technology, support",2.33
16,Mental Health Resource 16,A comprehensive guide and tools for mental health initiatives.,Health,Mental Health,"mental health, health, support",3.38
17,Investments Resource 17,A comprehensive guide and tools for investments initiatives.,Finance,Investments,"investments, finance, support",1.65
18,Workshops Resource 18,A comprehensive guide and tools for workshops initiatives.,Education,Workshops,"workshops, education, support",3.75
19,Resume Building Resource 19,A comprehensive guide and tools for resume building initiatives.,Career,Resume Building,"resume building, career, support",3.07
20,Scholarships Resource 20,A comprehensive guide and tools for scholarships initiatives.,Education,Scholarships,"scholarships, education, support",4.61
21,Resume Building Resource 21,A comprehensive guide and tools for resume building initiatives.,Career,Resume Building,"resume building, career, support",0.81
22,Online Courses Resource 22,A comprehensive guide and tools for online courses initiatives.,Education,Online Courses,"online courses, education, support",4.95
23,Investments Resource 23,A comprehensive guide and tools for investments initiatives.,Finance,Investments,"investments, finance, support",3.52
24,Scholarships Resource 24,A comprehensive guide and tools for scholarships initiatives.,Education,Scholarships,"scholarships, education, support",1.96
25,Tech News Resource 25,A comprehensive guide and tools for tech news initiatives.,Technology,Tech News,"tech news, technology, support",2.42
26,Resume Building Resource 26,A comprehensive guide and tools for resume building initiatives.,Career,Resume Building,"resume building, career, support",1.44
27,Fitness Programs Resource 27,A comprehensive guide and tools for fitness programs initiatives.,Health,Fitness Programs,"fitness programs, health, support",4.16
28,Budgeting Resource 28,A comprehensive guide and tools for budgeting initiatives.,Finance,Budgeting,"budgeting, finance, support",3.49
29,Budgeting Resource 29,A comprehensive guide and tools for budgeting initiatives.,Finance,Budgeting,"budgeting, finance, support",3.35
30,Gadgets Resource 30,A comprehensive guide and tools for gadgets initiatives.,Technology,Gadgets,"gadgets, technology, support",2.07
31,Job Search Resource 31,A comprehensive guide and tools for job search initiatives.,Career,Job Search,"job search, career, support",3.24
32,Tech News Resource 32,A comprehensive guide and tools for tech news initiatives.,Technology,Tech News,"tech news, technology, support",1.3
33,Budgeting Resource 33,A comprehensive guide and tools for budgeting initiatives.,Finance,Budgeting,"budgeting, finance, support",4.95
34,Online Courses Resource 34,A comprehensive guide and tools for online courses initiatives.,Education,Online Courses,"online courses, education, support",4.6
35,Savings Plans Resource 35,A comprehensive guide and tools for savings plans initiatives.,Finance,Savings Plans,"savings plans, finance, support",4.28
36,Mental Health Resource 36,A comprehensive guide and tools for mental health initiatives.,Health,Mental Health,"mental health, health, support",1.24
37,Mental Health Resource 37,A comprehensive guide and tools for mental health initiatives.,Health,Mental Health,"mental health, health, support",4.15
38,Savings Plans Resource 38,A comprehensive guide and tools for savings plans initiatives.,Finance,Savings Plans,"savings plans, finance, support",1.79
39,Mental Health Resource 39,A comprehensive guide and tools for mental health initiatives.,Health,Mental Health,"mental health, health, support",2.75
40,Resume Building Resource 40,A comprehensive guide and tools for resume building initiatives.,Career,Resume Building,"resume building, career, support",1.57
41,Workshops Resource 41,A comprehensive guide and tools for workshops initiatives.,Education,Workshops,"workshops, education, support",1.0
42,Fitness Programs Resource 42,A comprehensive guide and tools for fitness programs initiatives.,Health,Fitness Programs,"fitness programs, health, support",4.17
43,Tech News Resource 43,A comprehensive guide and tools for tech news initiatives.,Technology,Tech News,"tech news, technology, support",4.85
44,Tech News Resource 44,A comprehensive guide and tools for tech news initiatives.,Technology,Tech News,"tech news, technology, support",0.74
45,Scholarships Resource 45,A comprehensive guide and tools for scholarships initiatives.,Education,Scholarships,"scholarships, education, support",2.37
46,Tech News Resource 46,A comprehensive guide and tools for tech news initiatives.,Technology,Tech News,"tech news, technology, support",3.03
47,Job Search Resource 47,A comprehensive guide and tools for job search initiatives.,Career,Job Search,"job search, career, support",1.03
48,Scholarships Resource 48,A comprehensive guide and tools for scholarships initiatives.,Education,Scholarships,"scholarships, education, support",1.34
49,Workshops Resource 49,A comprehensive guide and tools for workshops initiatives.,Education,Workshops,"workshops, education, support",0.96
50,Skill Assessment Resource 50,A comprehensive guide and tools for skill assessment initiatives.,Career,Skill Assessment,"skill assessment, career, support",3.89
